FID	IID	pop	sex	phase	igrowth
NA19101	NA19101	YRI	1	I	80360
NA19102	NA19102	YRI	2	I	88211
NA19103	NA19103	YRI	1	I	84132
NA19107	NA19107	YRI	1	III	74542
NA19108	NA19108	YRI	2	III	68166
NA19109	NA19109	YRI	2	III	65824
NA19113	NA19113	YRI	1	III	82392
NA19114	NA19114	YRI	2	III	73858
NA19115	NA19115	YRI	2	III	82618
NA19116	NA19116	YRI	2	I	70180
NA19117	NA19117	YRI	1	III	93251
NA19118	NA19118	YRI	2	III	67615
NA19119	NA19119	YRI	1	I	79877
NA19120	NA19120	YRI	1	I	99403
NA19121	NA19121	YRI	1	III	62622
NA19122	NA19122	YRI	2	III	67652
NA19123	NA19123	YRI	1	III	71782
NA19127	NA19127	YRI	2	I	54759
NA19128	NA19128	YRI	1	I	86542
NA19129	NA19129	YRI	2	I	64357
NA19130	NA19130	YRI	1	I	90910
NA19131	NA19131	YRI	2	I	62494
NA19132	NA19132	YRI	2	I	71957
NA19137	NA19137	YRI	2	I	78968
NA19138	NA19138	YRI	1	I	77643
NA19139	NA19139	YRI	1	I	79960
NA19140	NA19140	YRI	2	I	72477
NA19141	NA19141	YRI	1	I	85391
NA19142	NA19142	YRI	1	I	75984
NA19143	NA19143	YRI	2	I	77073
NA19144	NA19144	YRI	1	I	56118
NA19145	NA19145	YRI	1	I	66361
NA19146	NA19146	YRI	1	III	95897
NA19147	NA19147	YRI	2	III	75626
NA19148	NA19148	YRI	2	III	79107
NA19149	NA19149	YRI	2	III	70616
NA19150	NA19150	YRI	1	III	81412
NA19151	NA19151	YRI	2	III	92503
NA19152	NA19152	YRI	2	I	80904
NA19153	NA19153	YRI	1	I	84484
NA19154	NA19154	YRI	1	I	104713
NA19159	NA19159	YRI	2	I	106100
NA19160	NA19160	YRI	1	I	55041
NA19161	NA19161	YRI	1	I	101275
NA19171	NA19171	YRI	1	I	81475
NA19172	NA19172	YRI	2	I	60906
NA19173	NA19173	YRI	1	I	78490
NA19174	NA19174	YRI	1	III	82331
NA19175	NA19175	YRI	1	III	68829
NA19176	NA19176	YRI	2	III	86098
NA19177	NA19177	YRI	1	III	84667
NA19178	NA19178	YRI	1	III	89633
NA19179	NA19179	YRI	2	III	59724
NA19180	NA19180	YRI	2	III	67991
NA19181	NA19181	YRI	1	III	56476
NA19182	NA19182	YRI	2	III	70153
NA19183	NA19183	YRI	2	III	110422
NA19184	NA19184	YRI	1	III	88150
NA19185	NA19185	YRI	2	III	95966
NA19186	NA19186	YRI	1	III	85439
NA19189	NA19189	YRI	1	III	84557
NA19190	NA19190	YRI	2	III	77189
NA19191	NA19191	YRI	1	III	66817
NA19192	NA19192	YRI	1	I	105677
NA19193	NA19193	YRI	2	I	74497
NA19194	NA19194	YRI	1	I	100006
NA19197	NA19197	YRI	2	III	55855
NA19198	NA19198	YRI	1	III	80631
NA19199	NA19199	YRI	2	III	82990
NA19200	NA19200	YRI	1	I	82154
NA19201	NA19201	YRI	2	I	75777
NA19202	NA19202	YRI	2	I	84924
NA19203	NA19203	YRI	1	I	64993
NA19204	NA19204	YRI	2	I	58239
NA19205	NA19205	YRI	1	I	78743
NA19206	NA19206	YRI	2	I	73302
NA19207	NA19207	YRI	1	I	62773
NA19208	NA19208	YRI	1	I	111192
NA19209	NA19209	YRI	2	I	76614
NA19210	NA19210	YRI	1	I	90907
NA19211	NA19211	YRI	1	I	62470
NA19213	NA19213	YRI	1	III	72633
NA19214	NA19214	YRI	2	III	59686
NA19215	NA19215	YRI	2	III	83255
NA19221	NA19221	YRI	2	I	60906
NA19222	NA19222	YRI	2	I	64946
NA19223	NA19223	YRI	1	I	68308
NA19224	NA19224	YRI	1	III	119963
NA19225	NA19225	YRI	2	III	93433
NA19226	NA19226	YRI	1	III	52658
NA19235	NA19235	YRI	2	III	72288
NA19236	NA19236	YRI	1	III	73040
NA19237	NA19237	YRI	2	III	76810
NA19238	NA19238	YRI	2	I	66275
NA19239	NA19239	YRI	1	I	86576
NA19240	NA19240	YRI	2	I	61586
NA19247	NA19247	YRI	2	III	65799
NA19248	NA19248	YRI	1	III	81610
NA19249	NA19249	YRI	1	III	85377
NA19252	NA19252	YRI	1	III	101171
NA19256	NA19256	YRI	1	III	60905
NA19257	NA19257	YRI	2	III	71490
NA19258	NA19258	YRI	1	III	115231
NA19625	NA19625	ASW	2	III	80345
NA19700	NA19700	ASW	1	III	92070
NA19701	NA19701	ASW	2	III	59427
NA19702	NA19702	ASW	1	III	75568
NA19703	NA19703	ASW	1	III	69230
NA19704	NA19704	ASW	2	III	85360
NA19705	NA19705	ASW	1	III	61090
NA19707	NA19707	ASW	2	III	89453
NA19708	NA19708	ASW	2	III	58645
NA19711	NA19711	ASW	1	III	80458
NA19712	NA19712	ASW	2	III	66244
NA19713	NA19713	ASW	2	III	91641
NA19714	NA19714	ASW	2	III	79458
NA19818	NA19818	ASW	1	III	59157
NA19819	NA19819	ASW	2	III	61639
NA19828	NA19828	ASW	1	III	69206
NA19834	NA19834	ASW	1	III	88567
NA19835	NA19835	ASW	2	III	85778
NA19836	NA19836	ASW	2	III	65237
NA19900	NA19900	ASW	1	III	100423
NA19901	NA19901	ASW	2	III	53385
NA19902	NA19902	ASW	2	III	77863
NA19904	NA19904	ASW	1	III	94943
NA19908	NA19908	ASW	1	III	74485
NA19909	NA19909	ASW	2	III	67740
NA19914	NA19914	ASW	2	III	75984
NA19915	NA19915	ASW	1	III	83040
NA19916	NA19916	ASW	1	III	86812
NA19917	NA19917	ASW	2	III	74047
NA19918	NA19918	ASW	1	III	84286
NA19919	NA19919	ASW	1	III	74288
NA19920	NA19920	ASW	1	III	75068
NA19921	NA19921	ASW	2	III	85628
NA19982	NA19982	ASW	1	III	81478
NA19983	NA19983	ASW	2	III	64390
NA19985	NA19985	ASW	2	III	75631
NA20126	NA20126	ASW	1	III	80119
NA20127	NA20127	ASW	2	III	65953
NA20128	NA20128	ASW	2	III	64385
NA20129	NA20129	ASW	2	III	71786
NA20276	NA20276	ASW	2	III	87145
NA20277	NA20277	ASW	2	III	75761
NA20278	NA20278	ASW	1	III	91475
NA20279	NA20279	ASW	1	III	85944
NA20281	NA20281	ASW	1	III	64835
NA20282	NA20282	ASW	2	III	85168
NA20284	NA20284	ASW	1	III	81556
NA20287	NA20287	ASW	2	III	82635
NA20288	NA20288	ASW	1	III	88953
NA20289	NA20289	ASW	2	III	107238
NA20290	NA20290	ASW	2	III	98318
NA20291	NA20291	ASW	1	III	81781
NA20292	NA20292	ASW	2	III	82143
NA20294	NA20294	ASW	2	III	79684
NA20295	NA20295	ASW	1	III	95287
NA20296	NA20296	ASW	2	III	78529
NA20297	NA20297	ASW	1	III	60994
NA20299	NA20299	ASW	2	III	77202
NA20300	NA20300	ASW	2	III	94978
NA20301	NA20301	ASW	2	III	76406
NA20302	NA20302	ASW	1	III	104897
NA20314	NA20314	ASW	2	III	86751
NA20316	NA20316	ASW	1	III	90545
NA20317	NA20317	ASW	2	III	67158
NA20319	NA20319	ASW	2	III	75969
NA20322	NA20322	ASW	2	III	73363
NA20332	NA20332	ASW	2	III	84253
NA20333	NA20333	ASW	2	III	96251
NA20334	NA20334	ASW	2	III	82337
NA20335	NA20335	ASW	1	III	92513
NA20336	NA20336	ASW	2	III	85533
NA20337	NA20337	ASW	2	III	74614
NA20340	NA20340	ASW	1	III	75251
NA20341	NA20341	ASW	2	III	83213
NA20342	NA20342	ASW	1	III	67482
NA20343	NA20343	ASW	1	III	84837
NA20344	NA20344	ASW	2	III	68851
NA20345	NA20345	ASW	1	III	90993
NA20346	NA20346	ASW	1	III	59626
NA20347	NA20347	ASW	1	III	77205
NA20348	NA20348	ASW	1	III	80901
NA20349	NA20349	ASW	1	III	52276
NA20350	NA20350	ASW	1	III	83653
NA20356	NA20356	ASW	1	III	63948
NA20357	NA20357	ASW	2	III	84361
NA20358	NA20358	ASW	1	III	93032
NA20359	NA20359	ASW	2	III	76822
NA20360	NA20360	ASW	1	III	98502
NA20363	NA20363	ASW	2	III	81227
NA20364	NA20364	ASW	2	III	94510
